hour,minute,bps,bpd,hrt
0,0,119,69,75
0,1,124,72,75
0,2,122,70,76
0,3,124,72,75
0,4,119,69,76
0,5,124,71,76
0,6,120,69,76
0,7,121,70,76
0,8,120,70,78
0,9,124,71,76
0,10,123,72,75
0,11,125,71,75
0,12,128,74,74
0,13,124,71,76
0,14,126,72,74
0,15,125,71,76
0,16,128,72,75
0,17,124,70,76
0,18,126,71,75
0,19,125,72,.
0,20,124,71,78
0,21,128,74,77
0,22,126,73,80
0,23,129,72,74
0,24,125,69,77
0,25,127,70,76
0,26,124,69,77
0,27,128,71,77
0,28,125,70,77
0,29,129,72,76
0,30,129,72,76
0,31,129,72,75
0,32,125,70,77
0,33,129,71,76
0,34,125,69,75
0,35,128,71,74
0,36,126,70,74
0,37,124,69,75
0,38,122,68,74
0,39,119,67,75
0,40,119,67,76
0,41,119,68,79
0,42,119,69,80
0,43,111,63,81
0,44,113,63,82
0,45,112,64,84
0,46,113,66,81
0,47,114,66,82
0,48,117,69,80
0,49,116,68,82
0,50,121,70,80
0,51,120,70,80
0,52,119,68,81
0,53,121,70,80
0,54,118,68,80
0,55,122,71,79
0,56,119,68,81
0,57,124,71,77
0,58,124,70,79
0,59,128,72,.
1,0,129,72,76
1,1,131,73,75
1,2,127,72,76
1,3,134,74,74
1,4,134,75,76
1,5,127,71,.
1,6,130,73,73
1,7,130,73,72
1,8,125,70,73
1,9,129,73,71
1,10,129,73,72
1,11,128,73,73
1,12,136,76,71
1,13,133,74,70
1,14,130,73,71
1,15,135,76,70
1,16,135,76,71
1,17,130,74,71
1,18,135,76,70
1,19,135,76,69
1,20,131,74,70
1,21,134,76,70
1,22,139,78,69
1,23,133,75,70
1,24,133,75,70
1,25,138,77,69
1,26,134,75,69
1,27,133,74,69
1,28,137,76,68
1,29,134,75,69
1,30,129,72,76
1,31,130,74,75
1,32,130,75,74
1,33,131,75,75
1,34,129,74,76
1,35,91,60,74
1,36,130,74,75
1,37,128,74,75
1,38,128,72,75
1,39,131,75,75
1,40,128,73,75
1,41,127,72,75
1,42,127,71,75
1,43,129,74,74
1,44,129,73,74
1,45,129,73,76
1,46,128,72,76
1,47,131,75,76
1,48,131,74,75
1,49,130,73,76
1,50,128,72,75
1,51,130,74,74
1,52,129,74,74
1,53,128,72,75
1,54,130,73,75
1,55,130,75,75
1,56,128,73,75
1,57,125,71,76
1,58,128,74,76
1,59,128,74,76
2,0,129,72,76
2,1,125,71,77
2,2,126,72,77
2,3,127,73,77
2,4,124,72,77
2,5,124,71,77
2,6,119,69,78
2,7,125,72,78
2,8,120,70,78
2,9,124,71,77
2,10,121,70,78
2,11,128,73,78
2,12,120,71,78
2,13,122,72,77
2,14,125,73,78
2,15,125,71,77
2,16,127,72,77
2,17,122,70,78
2,18,127,72,77
2,19,124,70,77
2,20,128,72,76
2,21,124,70,77
2,22,131,74,76
2,23,131,74,77
2,24,128,72,77
2,25,130,72,77
2,26,129,72,77
2,27,132,73,77
2,28,123,69,77
2,29,121,68,77
2,30,109,62,76
2,31,102,59,74
2,32,97,57,75
2,33,99,59,76
2,34,96,58,79
2,35,95,57,78
2,36,89,53,81
2,37,93,52,78
2,38,90,50,84
2,39,98,54,81
2,40,95,55,85
2,41,89,55,84
2,42,102,57,82
2,43,99,59,81
2,44,101,56,82
2,45,102,57,80
2,46,101,57,80
2,47,99,55,82
2,48,98,54,81
2,49,101,57,79
2,50,100,57,80
2,51,95,53,82
2,52,99,55,81
2,53,99,55,80
2,54,100,55,80
2,55,96,52,81
2,56,101,56,76
2,57,113,62,72
2,58,100,56,78
2,59,98,53,78
